simMinute,population,stripEntries,crossings,totalStripEntries,totalCrossings,simTick
1,10,0,0,0,0,2401
2,10,0,0,0,0,4801
3,10,1,0,1,0,7201
4,10,0,0,1,0,9601
5,18,0,0,1,0,12001
6,13,0,0,1,0,14401
7,12,0,0,1,0,16801
8,12,0,0,1,0,19201
9,19,0,0,1,0,21601
10,18,0,0,1,0,24001
11,18,0,0,1,0,26401
12,18,0,0,1,0,28801
13,18,0,0,1,0,31201
14,21,0,0,1,0,33601
15,17,0,0,1,0,36001
16,17,0,0,1,0,38401
17,17,0,0,1,0,40801
18,24,0,0,1,0,43201
19,18,1,0,2,0,45601
20,17,0,0,2,0,48001
21,17,1,0,3,0,50401
22,16,1,1,4,1,52801
23,21,0,0,4,1,55201
24,18,0,0,4,1,57601
25,15,1,0,5,1,60001
26,15,2,1,7,2,62401
27,16,2,1,9,3,64801
28,15,0,0,9,3,67201
29,14,0,0,9,3,69601
30,15,1,1,10,4,72001
31,15,0,0,10,4,74401
32,18,0,0,10,4,76801
33,18,0,0,10,4,79201
34,15,1,1,11,5,81601
35,16,1,0,12,5,84001
36,18,2,1,14,6,86401
37,17,1,0,15,6,88801
38,15,2,1,17,7,91201
39,14,1,1,18,8,93601
40,10,2,0,20,8,96001
41,13,0,0,20,8,98401
42,14,0,0,20,8,100801
43,13,0,0,20,8,103201
44,12,0,0,20,8,105601
45,16,1,0,21,8,108001
46,17,0,0,21,8,110401
47,18,0,0,21,8,112801
48,18,1,1,22,9,115201
49,15,1,0,23,9,117601
50,17,0,0,23,9,120001
51,17,0,0,23,9,122401
52,17,0,0,23,9,124801
53,21,1,1,24,10,127201
54,21,0,0,24,10,129601
55,12,1,0,25,10,132001
56,12,1,0,26,10,134401
57,15,0,0,26,10,136801
58,15,0,0,26,10,139201
59,21,0,0,26,10,141601
60,17,0,0,26,10,144001
61,12,3,0,29,10,146401
62,12,1,1,30,11,148801
63,16,2,1,32,12,151201
64,15,0,0,32,12,153601
65,16,0,0,32,12,156001
66,14,0,0,32,12,158401
67,14,0,0,32,12,160801
68,17,1,0,33,12,163201
69,17,0,0,33,12,165601
70,15,1,0,34,12,168001
71,14,1,0,35,12,170401
72,16,0,0,35,12,172801
73,16,1,0,36,12,175201
74,18,0,0,36,12,177601
75,16,1,1,37,13,180001
76,19,0,0,37,13,182401
77,21,0,0,37,13,184801
78,22,0,0,37,13,187201
79,23,1,0,38,13,189601
80,23,0,0,38,13,192001
81,24,1,1,39,14,194401
82,24,0,0,39,14,196801
83,26,1,0,40,14,199201
84,25,1,0,41,14,201601
85,22,0,0,41,14,204001
86,24,1,1,42,15,206401
87,26,0,0,42,15,208801
88,24,1,0,43,15,211201
89,23,1,0,44,15,213601
90,26,0,0,44,15,216001
91,25,1,1,45,16,218401
92,28,1,0,46,16,220801
93,24,2,0,48,16,223201
94,26,0,0,48,16,225601
95,28,0,0,48,16,228001
96,29,1,0,49,16,230401
97,30,0,0,49,16,232801
98,34,1,1,50,17,235201
99,35,0,0,50,17,237601
100,37,0,0,50,17,240001
101,33,1,0,51,17,242401
102,32,2,2,53,19,244801
103,35,1,1,54,20,247201
104,39,1,0,55,20,249601
105,38,1,1,56,21,252001
106,37,2,1,58,22,254401
