slot1 anchors=5679 simMinutes=20066
slot1 hourUTC                 simMin     n  min  max    mean  simMinPerHour
slot1 2026-08-04T01          1..1049  1049   13   51    28.3           1048
slot1 2026-08-04T02       1050..2121  1072   18   49    30.0           1071
slot1 2026-08-04T03       2122..3278  1157   18   47    29.0           1156
slot1 2026-08-04T04       3279..4792  1514   10   41    22.9           1513
slot1 2026-08-04T05       4793..6480  1688   10   38    20.1           1687
slot1 2026-08-04T06       6481..7958  1478   12   34    22.0           1477
slot1 2026-08-04T07       7959..9744  1786   12   35    20.0           1785
slot1 2026-08-04T08      9745..11708  1964   11   27    17.8           1963
slot1 2026-08-04T09     11709..13526  1818   11   33    19.0           1817
slot1 2026-08-04T10     13527..15323  1797   10   32    18.4           1796
slot1 2026-08-04T11     15324..16992  1669   12   42    25.2           1668
slot1 2026-08-04T12     16993..18328  1336   15   39    24.7           1335
slot1 2026-08-04T13     18329..19751  1423   14   34    22.9           1422
slot1 2026-08-04T14     19752..20066   315   16   33    22.2            314

slot3 anchors=4983 simMinutes=17621
slot3 hourUTC                 simMin     n  min  max    mean  simMinPerHour
slot3 2026-08-04T00            1..25    25   10   24    16.2             24
slot3 2026-08-04T01          26..930   905   10   52    29.3            904
slot3 2026-08-04T02        931..1877   947   16   61    31.9            946
slot3 2026-08-04T03       1878..2958  1081   19   46    30.2           1080
slot3 2026-08-04T04       2959..4268  1310   14   48    24.8           1309
slot3 2026-08-04T05       4269..5761  1493   12   33    21.2           1492
slot3 2026-08-04T06       5762..7059  1298   13   39    22.9           1297
slot3 2026-08-04T07       7060..8617  1558   13   32    21.3           1557
slot3 2026-08-04T08      8618..10402  1785   10   31    17.8           1784
slot3 2026-08-04T09     10403..11712  1310   13   47    26.8           1309
slot3 2026-08-04T10     11713..13299  1587   10   37    20.8           1586
slot3 2026-08-04T11     13300..15009  1710   10   35    19.2           1709
slot3 2026-08-04T12     15010..16210  1201   13   41    25.4           1200
slot3 2026-08-04T13     16211..17342  1132   15   40    27.5           1131
slot3 2026-08-04T14     17343..17621   279   16   33    24.0            278
